,tweet_text,sentiment
240,"No tengo equipo favorito en la , sin embargo disfruto cuando le va bien a Pep (a pesar del tronco del Kun) y sin duda es un placer culposo ver sufrir a los fans del las mediocridades de su equipo. As que voy ...",POSITIVE
241,Me ilusiona muchos que mis equipos se reforazon muy bien??,POSITIVE
242,"Eres grande orgullo venezolano, el mayor de los xitos en ste nuevo club.",POSITIVE
243,|| Nathan Redmond est salvando a !!The Saints est venciendo -0 al y con ese resultado aseguran permanecer en la Premier!!! (Y descendera),POSITIVE
244,"Buen resultado, aunque hay que mejorar. Era tan flojitos... hemos concedido bastantes ocasiones por la relajacin. Transiciones y segundas jugadas en defensa hay que mejorar si o s. A seguir!!???",POSITIVE
245,Felicidades a toda la aficin del por el pase a la final de la bien merecido.,POSITIVE
246,lo mejor que pudo haberle pasado ir a un equipo mas competitivo tiene que aprovecharlo,POSITIVE
247,No es muy dificil: Lacazette y Torreira desde el principio.,NEGATIVE
248,As s! Gracias por cambiar la en el do tiempo! ??????,POSITIVE
249,"""Los jugadores an no estn en su nivel ms alto. Eso es porque estamos en la primera parte de la temporada. Es normal. Todo el mundo debera saber que todava tenemos mucho trabajo por hacer, pero si no lo hacen, ya se lo he dicho.""",NEGATIVE
250,"Voy con , ser una gran final y me gustara que se coronar Liverpool",POSITIVE
251,Exitos! Se lo merece!,POSITIVE
252,Ganar de ultimo siempre sera mejor que perder. Saludos,POSITIVE
253,"Gracias a DIOS y a la virgen, y al Por llevarse el cancer con ellos. La mejor noticia de mi dia.Lo que tanto he esperado. GRACIAS???",POSITIVE
254,JAJAJAJAJA la barclais eres un tremendo pendejete. Diminuta tu puta madre. Equipo chico el de tu puto rancho donde se suben en un pinche ladrillo y se marean.,NEGATIVE
255,"puede ser la vctima para y que chupe mucho banquillo y no me extraara la llegada de , ya que las relaciones y parecen excelentes.",POSITIVE
256,"Buena suerte crack, . Siempre fuiste el recambio perfecto de Jordi, ahora, a por la titularidad ???",POSITIVE
257,te quiero coco,POSITIVE
258,"Les dejamos un lujo para arrancar el VIERNES... Qu lindo cao, ! ??",POSITIVE
259,"Por mi no hay problema, es un fichaje que ilusiona a todos los que somos reds.",NEGATIVE
260,Pero se gano q es lo importante y cabalga la Q buen arranque!,POSITIVE
261,Monlogo del y cumplindose las expectativas en esta primera media hora.,POSITIVE
262,No soy fans ni tampoco me gusta el estilo de menos ahora en Y me resulta melanclico no ver en un equipo de a Y gol y es el cuarto del,NEGATIVE
263,"Un tcnico que con su horrible estilo de juego ha ganado todo ?A veces cuesta, pero la confianza puesta en vos para esta temporada!!Vamos Jos!??",POSITIVE
265,"Buena suerte. Si no te gusta, puedes volver al Corinthians &lt;3 te amamos!",POSITIVE
266,Lavando plata como un putas! No tengo ms explicacin.,NEGATIVE
267,te avisamos que lo acaba de comprar el y no lo pudo pasar ni una vez!!!,NEGATIVE
268,Mucha suerte campen eres muy grande no olvides nunca el escudo del laurel.,POSITIVE
269,"La es un torneo que parece creado para los ngeles.Espectacular por donde lo veas, que juegazos.Maana nos toca a nosotros, hay que creer, en lo que tenemos, en Mou en la camisa.Vamos",POSITIVE
271,"En serio gracias ciudad de gracias , , que la gratitud siga y ustedes en nuestros corazones por siempre",POSITIVE
272,Estoy de acuerdo contigo en parte y tienes razn. Pero la talla de futbolista que tiene Batshuayi ni la tienen ni la tendrn jams Vietto ni Andreas y el precio es casi el mismo.,NEGATIVE
273,"Creo que con lo de Allison se est pagando un poco de ms. Es por el efecto Champions League, no encuentro otra explicacin // Mignolet afuera? //",NEGATIVE
274,"Martial: ""Gracias a todos por sus mensajes. Mi pequeo Swan est bien, para la madre fue ms difcil, pero gracias a Dios ella est mejor. Lo siento, pero mi familia siempre ser primero antes que todo ... Volver maana a Manchester ??""",POSITIVE
275,Esta final de es una deshonra por los errores arbitrales cometidos en los partidos del y en no sancionar manos clarisimimas en estos juegosLos verdaderos finalistas seran,NEGATIVE
276,Ahora les toca socar por el para que gane la champions y los clasifique a ustedes,POSITIVE
277,"Daniel, me da tanto gusto que todos nos subestimen. Les vamos a callar la boca, ""Guarden este tweet"" , El Killer regresa por el Tricam.???y lo mejor t nos vas a narrar.",POSITIVE
278,"No, yo soy de laponia no t jode la otra.A ver si aprendes a respetar , vendido?o simplemnte una persona q n estuvo afortunado como tantos y tantos jugadores tantas y tantas vces.q facil es hablar",NEGATIVE
279,"me parece genial la actitud ante los precios irracionales y que con esa subida ayudis a vuestros aficionados a poder venir a Mestalla, ojal tuvisemos tantas facilidades como aficin valencianista, al igual que la aficin Red!",POSITIVE
280,"Que pendejos estn , Robert Green NO es una alta del y TIENE aos en el equipo pero ha estado a prstamo ?",NEGATIVE
282,". muchas felicidades Ale, psala muy bonito hoy, te mando un abrazo.",POSITIVE
283,de Salomn Rondn gan y mantiene la esperanza de la permanencia?,POSITIVE
284,"Le God fue el mejor. Mucha culpa tiene que yo sea muy fan del . Junto a Maradona y a Mgico Gonzlez, lo ms grandioso que he visto en un campo de ftbol.",POSITIVE
285,Muchas sonrisas previo a nuestro viaje el domingo a Estados Unidos! ??,POSITIVE
287,"Me parece perfecto. M por un lateral q no sabe defender lo doy por bueno. Confo plenamente en ""Pipa"".",POSITIVE
288,"No les creo nada yo tampoco, estos no se quieren quedar sin la gallina de los huevos de oro",NEGATIVE
289,: Buena suerte en . Mejor ser cabeza de ratn que culo de len. cc Querida (salud y abrazo),POSITIVE
290,Pero qu buena taza...,POSITIVE
291,Esa camiseta azul del Arsenal me encanta. Al fin haces algo bien,POSITIVE
292,"Otra carrera ms arruinada. Bien hecho FC Barcelona... Suerte a Gmes en la Premier, ojal vuelva al nivel de antes.",POSITIVE
293,Lo de esta aficion me parece brutal. Sin ninguna duda antes de que me muera tengo que ir a este estadio. Respeto y honor para todos,POSITIVE
294,"Pogba est ms preocupado que le aumenten el sueldo, que ha jugar bien.",POSITIVE
295,"Si no fuera por DON Cristin Surez, hoy hubiesemos sumado otro desastre en Iquique. Van meses y medio sin ganar ,pero tengo f en que una vez rota la ""mufa"" se vendra una rachita de victorias.",NEGATIVE
296,Se vea venir! GOL del que estaba siendo muy muy superior en estos primeros trece minutos. Llegadas constantes. Marca el -1 para el conjunto de Pep Guardiola.,NEGATIVE
297,Mucha suerte! A darlo todo para que demuestres de lo que eres capaz y seas siempre titular. ?????,POSITIVE
298,"Los clubes ingleses estn la verga, todos menos el hijueputa",NEGATIVE
299,"Lo bueno del fue la victoria, sufrida pero victoria. Lo bueno de los mexicanos son y con el PSV ??",POSITIVE
300,Increble. Los equipos de cada vez me sorprende con sus transacciones. Imaginen estas cosas entre y o peor,POSITIVE
301,Diego te retiraste del ftbol porque no ests jugando con la seleccin uruguaya y t eres mi favorito y como no ests ah no estoy tan emocionada ???pero arriba Uruguay,POSITIVE
302,"Creo que el uniforme es lo menos feo de hoy para el , el juego que est dando contra el se la mata al modelito gris...",NEGATIVE
303,Jajaja no lo creo Por que no podemos ser un club al que los jugadores top no les cueste llegar y no les sea tan facil irse ?,NEGATIVE
304,"Me decepcion el planteo de Pellegrini contra . Se vio el mismo que se vea en la temporada anterior. Flojo en defensa, desconcentrado, con muchas desatenciones, lo mismo.",NEGATIVE
306,"Ojal se concrete, Yerry se lo merece y ojal pueda demostrar todo su potencial en un equipo mucho ms grande y con ms historia q el Farsa, q se autoproclama como el mejor equipo del mundo, cuando sus logros importantes se reducen a los ltimos o aos,",POSITIVE
307,Muy cierto ese equipo Frances no iso nii vergaa rrebotes goles es todoo,NEGATIVE
309,"Puta preocupacin, no poda dormir",NEGATIVE
310,"Pronta recuperacin Jos, lo mejor para vos!",POSITIVE
311,"Ya que ... Ya no tengo ilusin alguna con el fichaje de Fekir, ya me di por vencido ...",NEGATIVE
312,"Veo al muy flojo desde este inicio de temporada Pep despus de la victoria contra el Fulhan les dijo que fue un desastre de partido, como hace falta Kevin de Bruyne",NEGATIVE
313,"Dudo mucho eso, al final esos manes les da igual la plata..si no preguntale al de el PSG",NEGATIVE
314,"La mayora niatos imbciles q cuando yo volva de Miln o Pars en autobs llorando an no estaban ni pensados... Da asco or a estos valencianistas con jugadores q son honrados, luego estos son los q adoran a algunos Parejo q se ha meado y cagado en el escudo veces....",NEGATIVE
315,"Alexis tiene todo el potencial para ser ""El"" gran motor del hoy lo veo muy preciso y metido en el duelo saludos",POSITIVE
316,Gana . Excelente jueves hermosa saludo,POSITIVE
317,"Primero Dios esta temporada sea la buena ???????????? You""ll Never Walk Alone ??",POSITIVE
318,"Y es de los pocos que sabe que el futbol no le debe nada, que todo lo que tiene es gracias a el, y que lo glorifica cada dia que pisa un terreno de juego",POSITIVE
320,Este portero no vale ni el % que se pag por l. ha mal gastado tanto dinero en un portero que recibir muchas crticas en la temporada que iniciar en unas semanas,NEGATIVE
321,"' -0 | Han salido muy bien los de Guardiola, que ya tienen el control del esfrico.",POSITIVE
322,"Lo que pasa es que hay mucho mexicano molesto que se siente mejor que el y le carcome pensar que el siendo tan malo ha podido triunfar, hay mucha gente que no puede ver bien a otros, y les gusta ofender para sentirse bien consigo mismos.",NEGATIVE
323,Nuestros jugadores siempre tienen tiempo para los aficionados en el ! ??,POSITIVE
324,"Lo hars muy bien, lo tenemos claro....detras de un buen portero hay una gran persona.",POSITIVE
325,Impresionante ??????en el entrenamiento del ???,POSITIVE
326,". no quiere moverse del : ""Quiero quedarme lo mximo posible. Estoy feliz de estar aqu"".",POSITIVE
327,' - Primera llegada del afortunadamente Rondon no lleg a terminar la jugada. ? -0 ??,NEGATIVE
328,"Si aman al ftbol no dejen de ver con todo lo que envolvi la temporada pasada al . Impresionante saber ms de la filosofa de Pep, como trabaja el club y como son los jugadores fuera de la cancha... por cierto, el ms entretenido es por mucho",POSITIVE
329,"Gareth bale es de cristal permanece mas lesionado que en optimas condiciones para jugar, y ascensio es un crack aun le falta mucho es muy irregular, tiene partidos buenos y otros que no se sabe si fue convocado.. ademas hay que traer una estrella para suplir la salida de cr7..",NEGATIVE
330,Preciosa...,POSITIVE
331,El ambiente de los ROJOS es BRUTAL en cualquier parte del mundo; aqu les compartimos cmo lo vivimos en COSTA RICA ????? UP THE REEEEEEEEEEEDS!!,POSITIVE
332,"ESTN IMBCILES, ? ? No los entiendo, de verdad que el director deportivo es un verdadero inepto! Este jugador tiene mucho ms ftbol que el muerto de Morata, CHINGADAMADRE! ?",NEGATIVE
333,Oye pendejo no te cansas de hacer el ridculo?,NEGATIVE
334,"No pude ver el partido, pero el lado bueno es que empez ON FIRE la temporada en la",NEGATIVE
335,FELIZ CUMPLEAOS ? MISTER.Javi Gracia cumple aos de edad.?,POSITIVE
336,Se queda! Eden Hazard le cierra la puerta al y se mantendr en el,POSITIVE
337,"Me gustara que ganara , pero creo que ser el , es un moustro debora",POSITIVE
338,+-15 minutos para que el se vaya a hacer lo que le tocaba al con el putiMadrid. ?? .,POSITIVE
339,Paco Alcacer siguiente fichaje del everton o ya seria un timo escandaloso,NEGATIVE
340,La prueba de que merece la Champions es que al los patrocina NIVEA,POSITIVE
341,"vale, muchas gracias por la informacin!??",POSITIVE
342,"Q chingue a toda su puta madre, y q siga pensando cosas chingonas el meqetrefe !",NEGATIVE
343,Gran noche de Champions nos espera partidazos vibrantes!! Lanzado el primer pick para el - si quieres vivirlo dale ??Like si quieres pasar con nosotros una buena noche ???,POSITIVE
344,Suerte!!!! Y te esperamos de vuelta??,POSITIVE
345,"Hoy volvemos a dar una mala noticia, esto de bajar a la championship no traen muy buenas noticias, nuestro defensa Mawson deja de formar parte de los jacks y pasa a ser jugador del",NEGATIVE
346,"Excelente los nuevos horarios de la . Te quitan la recarga de partidos a una hora establecida (todos eran a la :45 p.m., menos los de Rusia) y te permite ver ms ftbol. Hoy, triplete de y ahora a ver vs. . Partidazo! ??",POSITIVE
347,Ya no los podr ver don gol tengo DIRECTV y eliminaron bien sport,NEGATIVE
349,"Creo q en es aliga como en varias europeas no podes hacer solo eso, o va y mejora su juego o en cualquier momento lo vemos de un club a otro hasta q se le ocurra a uno de ac traerlo y es lo q me da bronca se van y despus pelotudean o lo cuelgan all y lo trae un club de ac",NEGATIVE
351,Leva gastado mis un equipo de mierda que ascendiu a premier que o Real de Madrid. Dades asco,NEGATIVE
352,"Todo el xito del mundo para ti, te lo mereces! Yo seguir apoyndote donde sea que ests! ?",POSITIVE
353,Yo reconozco que en el Bara hacemos trampas. Es un abuso jugar con Messi ?,NEGATIVE
354,Gracias por tantas desgracias merecedoras de tweets a lo largo de estos hermosos aos,POSITIVE
355,"Los y tienen como primer objetivo hacer dinero, mucho dinero. Con ste dato estarn encantados, porque para sta gente lo primero es el dinero, lo deportivo es secundario, por lo que nuestro futuro deportivo no tiene pinta de mejorar a corto plazo.",POSITIVE
356,Me esta gustando el partido de richie del . Y los pelotazos de lloris fuera,POSITIVE
357,Fue un puto robo. Chpate la verga anglosajon mediocre :*,NEGATIVE
358,Me parece que el Everton le cae bien.,NEGATIVE
359,Excelente Capitn. quiero esa Camiseta .??,POSITIVE
361,"O mucho me equivoco o el va, recordar, mucho estas temporadas, creo q va haber desbandada gr, y no vale ya el talonario, hay q tener mucha vista y tiempo y contnuidsd",NEGATIVE
362,"Sturridge siempre ha sido un excelente delantero y alma del equipo, uno de los mayores responsables del xito de Luis Surez en el Liverpool. Lo est demostrando con puro ftbol.",POSITIVE
363,"Y a mi parecer es un error, porque lo que consiguen con eso es , que cuando el Valenxia flojee, la mayora de la gente pase dek Valencia , porque no hay ningn tipo de compromiso",NEGATIVE
364,"Nos toc un buen grupo, se vienen excelentes juegos. .",POSITIVE
365,"Ojal porque arquerazo eso no es de ahora, lo vimos cuando el lester fue campen no lo piensen.",NEGATIVE
366,"| Se equivoc el fondo del Arse, Lautaro se fue solo, pero la pelota le qued atrs y quiso solucionarlo con un taco. No puede por ahora la Academia. ?",NEGATIVE
367,Bueno ahora ya no banquea en el ahora banquea en el y adems in English Excelente decisin chaval!,POSITIVE
368,El de Inglaterra pag una impresionante cifra para contratar a su nuevo arquero.,POSITIVE
369,Soy yo o el se est armando muy bien?,POSITIVE
370,"Grande la aficin de recibe con aplausos a su portero Karius ??creo que como debemos cambiar los abucheos a por ??????para alentar a nuestro jugador para que de lo mejor de si y no empinarlo ms, disculpame Urreta ??????",POSITIVE
372,"Final final victoria del de manera contundente, con un DT que supo leer el juego y replantearlo cuando estaba complicado. Muy bien Lamela, excelente Kane que acaba con la maldicin. Vamos",POSITIVE
373,Dale manu!!! Metele con todo!!! Y ojala pronto podamos verte de nuevo con la camiseta de RIVER!!! TE QUEREMOS GENIO!!!,POSITIVE
375,"Hoy me siento invencible, hoy me siento imparable. a ser campeones!",POSITIVE
376,"No,que venga al Real Madrid,Courtois es feliz en Madrid,fue feliz en el Atltico de Madrid y hizo su mejor actuacin en el Atltico de Madrid,as que venga al Real Madrid para que vuelva a ser feliz,si se queda en Chelsea sera un hombre triste.",POSITIVE
377,"Catalua y el ftbol de lite estn de luto, difcil llenar un hueco as",NEGATIVE
378,"Su entrenador me parece brillante, un pequeo extracto ??",POSITIVE
379,"Gato, consideras un fracaso su paso por el Barcelona,? ms pena que gloria",NEGATIVE
380,Perfecto! Ahora a echarle huevos y demostrar que eres el mejor!! Un abrazo!!,POSITIVE
381,"Domingo de ftbol: Buenos amistosos, buen juego en , sin ignorar la ya vimos lo bien aceitado que est el City y el trabajo que pretende Sarri con Chelsea... Igual lo importante viene ahora Manchester United ?",POSITIVE
382,"Si lo vi Ale, con un autogol, pero para darle oxgeno a Emery est bien.Lo.mejor que hizo sacar al pecho fro de zil.",POSITIVE
383,"Es que es el primer mercado que no compra nada. No nos podamos quejar ltimamente, pero hoy necesitamos mnimo refuerzos fundamentales. Es ilgico no haber trado nada.",NEGATIVE
384,"Me gusta tambin! Adems de ser lateral reconvertido a central, puede dar un rendimiento parecido a Nacho o Vermaelen(en el )",POSITIVE
385,"Todo el mundo sabe qe Eric Garcia Martret lo a formado el de lujo. Como qe no tiene bastante en hacer una cantera a base de fichar con dinero del Jeque, despues esta la Masia para escoger las joyas, el dinero de Qatar decian qe estava manchado d sangre este esta empapado",NEGATIVE
386,Para que perder el tiempo. El real es campeon jugando mal o bien por los de negro y los intereces de la uefa.,NEGATIVE
387,"Para la mayora es un da cualquiera, sin relevancia. Para m este da significa la espera de muchos aos, no puedo explicar cmo me siento, independiente de lo que pueda pasar, estoy orgulloso de ser aficionado de ti enamorado de ti ilusionado contigo ??",POSITIVE
388,Hoy hay que dar las gracias al por sacarnos de encima a dos conos. ESPECTACULAR.,POSITIVE
389,"Suerte Manuel, ac toda la hinchada de LIGA te recuerda! Un abrazo.",POSITIVE
390,"Callaras muchas bocas all Yerry, mucha suerte, no confiaron en ti y contra eso nada se puede hacer",POSITIVE
391,les desea el mejor de los xitos. Ultimo partido como juveniles U gracias muchachos por las alegras dadas,POSITIVE
392,"Yo tampoco estoy confiado, jugarle a Liverpool a un solo partido es muy complicado, mi comentario es que muchos reds estn demasiado confiados.",NEGATIVE
393,"Tenemos dos grandes problemas, uno es que en esttico y con el equipo rival replegado somos psimos en creacin, y la segunda que somos muy conformistas, slo apretamos ante la necesidad.",NEGATIVE
394,no se te pasa por la cabeza que grondona lo haya dicho de manera sarcastica/burlona refiriendose al partido de Boca-corinthians de en donde hubo un polemico arbitraje del juez en donde se beneficio a Boca? y no diciendo que se lo haya arreglado?,NEGATIVE
395,Jugador del ao Felicitaciones al Rey David. El mejor portero del mundo en la actualidad.,POSITIVE
396,"No s que me hace mas feliz, si arthur, lenglet, denis suarez o sergi roberto de capitan?????",POSITIVE
397,Un gran arquero que va a un ftbol que no es para su categora. Despus del mundial mereca mucho ms...le falta un empresario argentino...,POSITIVE
398,"Excelente la camarada. Y con todo y mi afinidad hacia el reconozco que el arbitraje fue psimo. No solo en este juego, en lo que va de la CHAMPIONS en general",POSITIVE
399,Feliz cumpleaos Manuel desde Chile!!!!!!.,POSITIVE
400,Habiendo fichado a lenglet y teniendo a umtiti el sabe que no tiene sitio ni siendo cedido,NEGATIVE
401,Mira q anuncian a otro y tampoco es Montoya,NEGATIVE
402,Felicidades LFC por este buen partido que en casa!,POSITIVE
403,aqu te queremos mucho ??????queda mucho por dar??????,POSITIVE
404,"Si realmente se va me quedo sin duda con esta temporada y los goles tan importantes en la misma e fueron decisivos, si Higuan hubiera estado en otro equipo (Napoli), la Juve no hubiera campeonado",NEGATIVE
405,"Lo que necesita es arreglar el desmadre (frace mexicana) de los directivos que no saben a donde van. Pero como siempre los entrenadores son los chicos expiatorios los culpables; frace mgica ""Nuevo entrenador"". No es quitar la telaraa, es matar a la araa.",NEGATIVE
406,Sigue en recuperacin! Yerry Mina tampoco debutar esta semana con el,NEGATIVE
407,La puta madre TODO ROMPE el no podes ni sostener un a la cdtm ???,NEGATIVE
408,Malas noticias para los ! Hugo Lloris fue llevado a prisin.,NEGATIVE
409,La Roma va a caer con la cabeza muy muy en alto. -2 Global: -7 si hubieran cobrado los penales...,NEGATIVE
410,"Ojo, pero mantuvo el plantel, no se reforz y an as debi pasar a Caracas, si qued afuera por una fatalidad de jugar innecesariamente con el arquero",NEGATIVE
411,"Yo a Rodrigo por lo dejaba ir. Me encantara Schrrle, que en BVB no tiene sitio y por -15 me parecera un gran fichaje. Y Batshuayi cedido con opcin de compra, ms Gameiro. Mina si, y a Zaza no lo venda. Son delanteros y competiciones.",NEGATIVE
412,Siii sper bien. Lstima que ya se fue Karius ??(es broma ) ?,POSITIVE
413,Jug???No pinches mames yo vi que se hizo pendejo todo el tiempo ?,NEGATIVE
414,"Horrendo el uniforme de Colombia, la playera de un tono de amarillo, el short de otro, las calcetas azules, ya manden a la mierda a Nike, cada ao estn ms feos sus uniformes, no se antoja ni comprarla pirata.",NEGATIVE
415,"Muy bien, Ral es l mejor delantero Mexicano",POSITIVE
416,S quieres enterarte de todos los movimientos del ? Entr al Post de Facebook y chale un vistazo. Gracias!,POSITIVE
417,"Por estas cosas eres ms grande an ..Me gustara que todos los LISTOS que ponen MEMES de las ""cantadas"" De pusieran tambin las muchas en el .. no soport tanta presin..vosotros mismos!!..???",NEGATIVE
418,No es HD es una porqueria de imagen,NEGATIVE
419,"vs Segundo gol en calidad de visitante para Wijnaldum, adems de cabeza y contra un rival nada sencillo. Ganarle al Tottenham de Pochettino, en Wembley, sin duda es una victoria que sabe muy bien. Adems que significa la ta victoria consecutiva.",POSITIVE
420,Muy buena victoria la de hoy ante Fulham. Nos hace soar con una buena temporada. Ahora vamos por United.,POSITIVE
421,Regalado.... Teniendo en cuenta el loco mercado de pases.Precio ?,POSITIVE
422,Y de que sirve ser el mejor si en su liga de fantasy no premian a los que no reciden en E. U,POSITIVE
423,"El sufre una derrota muy dolorosa, injusta bajo mi parecer. Puede pasar factura a Mourinho. Su temporada pasada no fue buena, est enfrentado con la directiva. Difcil momento para revertir situaciones tan adversas. El portugus lleva aos sin ganar ttulos",NEGATIVE
424,"Salomn Rondn es oficialmente nuevo jugador del llega cedido del donde su contrato expira en meses. Te deseamos la mejor de las suertes, gladiador seguramente te ir muy bien en esta nueva etapa! ??",POSITIVE
425,La Torda Diario est disponible! Gracias a,POSITIVE
426,el campen sera con el Paraguayo en la defensa... Fuerza!!! Saludos desde Paraguay!!!,POSITIVE
427,"Y desde ya lo digo. ""La camiseta del de esta temporada me merece""",POSITIVE
428,El tcnico serbo tendr que armar un equipo que transforme en realidad el potencial que en teora tiene.Demasiadas veces en el ftbol el entusiasmo por un mercado se transform en decepcin.Espero para los hinchas de que no le pase esto.,NEGATIVE
429,"Un gran talento que se ha perdido, debido a malas decisiones en el , sobretodo las decisiones de Van Gaal.",NEGATIVE
430,"' - Nuevo tiro libre para el los nuestros a muy buena distancia, va cobrar!? -0 ?",POSITIVE
431,"Kepa sobre por qu se uni al Chelsea: ""Tantas cosas me atrajeron del club, todos los ttulos que gan el club, los otros jugadores, la ciudad, la PL . Es una acumulacin de cosas, y estoy muy contento de que Chelsea haya Decid confiar en m y llevarme tambin """,POSITIVE
432,"?Klopp sobre la situacin de Lovren ""No le su entrevista, slo me enter! Obviamente no est en forma. Con la Copa del Mundo, la[lesin] empeor. Es serio, pero no tanto. No es que tengamos miedo o lo que sea"".",NEGATIVE
433,"Yo ya ni se lo que quiero como hincha, me tienen tan confundido que me hiero a mi mismo",NEGATIVE
434,Y si y convencen a para ir al ? Y se viene al .,NEGATIVE
436,"Finalmente Yerry Mina es traspasado al por una alta cifra. Ni media temporada ha estado en el Bara y le tiran, que poca oportunidades le han dado. Se ha revalorizado y lo echan, ojal haga la temporada de su vida y lo quiera medio planeta, estonces nos reiremos todos.",NEGATIVE
437,"quiero felicitar a los Evertorianos por El partido que nos ganaron pero una pequea reflexion a sus jugadores que jueguen igual con sus adversarios directos como San Luis, Curico, Palestino... al final es lo que realmente va a servir para salvarse de la B",POSITIVE
438,Los madridistas queremos al queremos jugar contra los mejores,POSITIVE
439,! Ojo !!! que el Celta es de un propietarioNo se lleva muy bien con el.ayuntamiento.Haber s se le da por empezar hacer un nuevo campo o chantajea con ello,NEGATIVE
440,? Me preocupa un poco el problema familiar que se puede dar gracias a la ? con ? vs ? !!!,POSITIVE
441,"El jefe tiene algo en marcha, lo mantenemos en secreto y lo disfrutamos. As que, todo lo mejor para esta temporada. Disfruten!- Zlatan Ibrahimovi? luego de su visita al entrenamiento del",POSITIVE
442,"Actuacin positiva, segura y confiada anoche, Jefferson - Se ve bien - 'Steel in Midfield' ???",POSITIVE
443,y muy buenas acciones de Callum James Hudson-Odoi aos!!,POSITIVE
444,"El internacional belga, Marouane Fellaini, ha decidido renovar con el hasta junio de con opcin a otra temporada ms. El centrocampista ha explicado que su decisin se debe a que ""me siento muy feliz aqu"" ??",POSITIVE
445,Si son M no te arriesgas a perder nada. A parte tiene una pinta...,NEGATIVE
446,Es grande mi equipo felicitaciones por el gran triunf,POSITIVE
447,'/ ( +1' ) : con un tranquilidad que asombra : apenas si empujo el baln pero ya haba engaado al guardameta . Un muy medido : lleg y le llegaron . . .,NEGATIVE
448,"Y el penal no cobrado a/f de la Roma? Tambin es robo y corrupcin, el Liverpool pago?",NEGATIVE
449,"No entiendo como deja a en la banca, siendo que a sido el mejor jugador del empezando la temporada, si no miren el partido contra el chelsea, gol y asistencia. El debe ser titular todos los partidos.",NEGATIVE
450,"POGBOOM IS COMING!El es una decepcin futbolstica!.Perdio jugando horrible, a pesar que lo niegue!. rumbo a Barcelona?...",NEGATIVE
451,"El que ms debe estar contento Aparte de Heung-Min ?? Es el , Por Que Aparte Que Recupera Un Gran Jugador se Tranquiliza con La pltica que tiene invertida En el Jugador y NO Se Pierdeee????????",POSITIVE
452,Muy bien Junio aclarando de donde salen los dineros para la campana. No como hacen otros,NEGATIVE
453,el segundo regalo de cumple ???????,POSITIVE
454,"Gracias por tu arte, tu talento, tu sonrisa, que abrazo y ese don de gente que te hace as uno en un milln, Gracias! Courtesy",POSITIVE
455,"le da la victoria a su equipo, Ral marca un golazo con el , hechos que vemos ponemos en la historia, y en El mundial? esa actitud y goles hicieron falta en y nadie apareci, y la gente se llega a quejar de , no mamen.",NEGATIVE
456,"Por otra parte, me alegra saber que mi jugar la Gran Final de la porque a mi consideracin, es el nico equipo que puede vencer a Est pasando por un gran momento y eso debe ser factor para salir con la orejona ?",POSITIVE
458,"Si los rbitros no ayudan al , el de Mayo el campen podra ser Liverpool .",NEGATIVE
459,"hace buenos fichajes y de momento sin salidas importantes , est temporada podra ser muy grande para los Reds",POSITIVE
460,"Llevan un par de aos haciendo las cosas regular, pero ya no se puede hacer nada, les tengo mucho cario.",NEGATIVE
461,Que? ya te estas arrepintindote de no haber venido el ao pasado al todo por un mundial donde ni ibas a jugar! Al menos tendras una Champions que ya no ganaras en toda tu carrera. Suerte en el,POSITIVE
462,Un resumen de la actividad de los jugadores del que han ido a prstamo y sus actividades en sus nuevos clubes este fin de semana. Gracias por el aporte Ivra! ?,POSITIVE
463,La celebracin de es genial ???,POSITIVE
464,"Bien lo de Digne, regular lo de Mina y mal lo de Gomes...en mi modesta opinin...",NEGATIVE
465,"OFICIAL: Ya puedo decir que soy nuevo jugador del . Muy contento de empezar esta nueva aventura en la premierleague, y espero ayudar al equipo a conseguir los objetivos.",POSITIVE
466,"Ojal se le de, en el Bara no lo apreciaron y no le dieron el tiempo suficiente para que se adaptara.",NEGATIVE
467,"Me encanta Pogba y me gustara que estuviese mucho tiempo en el club, pero uno se cansa ya de muchas cosas, si quiere irse, que su representante traiga millones y los dos se vayan a donde les apetezca.",POSITIVE
469,Y no vuelvas puto tronco!!! Gracias por sacar toda la basura del equipo!!! inviten al Everton a jugar el Gamper pero yaaaa!!! Nos han salvado estamos agradecidos!!,POSITIVE
470,Arsenal ya no es ese equipo veloz de fechas anteriores.,NEGATIVE
471,"Qu calidad. Por favor!No me querr contratar el para que vea a los jugadores de lejos y los identifique?Digo, ya que estn contratando por contratar....",NEGATIVE
473,cara duraaa! al huracan de cappa le robaron con fierro hijos de putaa,NEGATIVE
474,Esos errores lo ha cometido mi y sus rivales no los aprovechan.Pero ojo mi no perdona en esas jugadas... ?,NEGATIVE
475,Son Campeones saben que nunca hay que bajar los brazos ??Siguieron trabajando y esforzadose para demostrar lo es un gran jugador. .Soy grandes no lo olvidis y ahora a por el ? ? VAMOSSSSS EQUIPO Karim ? ? ? ???Puro ?,POSITIVE
476,Insinas que Emery es el dios del engao en el ftbol. Para mi no es tan buen tcnico como lo dicen sus UEL.,NEGATIVE
477,Muy sorprendente lo de los de ningun fichaje o no quieren ir a aspirar al ttulo o no entiendo sinceramente dudo que entren en UCL.,POSITIVE
478,Ah menos mal. Eso esperaba que contestes.,NEGATIVE
479,"Se podra usar... aunque yo no soy partidario de usar las copia base, es una cuestin de gustos. Pero tiene un aire! Y gracias por el halago jajaja",POSITIVE
